company reports,"('000net', -4.585065678564867)","('earns', -4.63456788085799)","('000share', -4.653905067628765)","('qtr', -4.7066438109584166)","('otc', -5.2184004777616835)","('net', -5.32711429113291)","('nyse', -5.4910152866278805)","('quarter', -5.5274639293378405)","('share', -5.718548557812565)","('corp', -5.744546319796312)"
collectors and collections,"('collectors', -7.989609215676025)","('collection', -8.03347213121597)","('art', -8.100114433984864)","('museum', -8.283389064807956)","('collector', -8.298764475464766)","('auction', -8.529731624337783)","('collecting', -8.64880094611092)","('sold', -8.7533071802881)","('paintings', -8.785921219164596)","('bought', -8.824376884344776)"
"prices (fares, fees and rates)","('prices', -5.962206305427411)","('price', -6.344629218821484)","('market', -6.368285133080269)","('rates', -6.820658911894603)","('rose', -6.874263130775249)","('higher', -6.879207276326553)","('cents', -6.885166452171082)","('oil', -6.897284140989689)","('trading', -6.959577976714869)","('stock', -6.962576924517385)"
palestinians,"('palestinian', -5.593905762798156)","('israeli', -5.713724434601896)","('israel', -5.76058787766133)","('palestinians', -5.817360449868044)","('gaza', -6.304943948427819)","('arafat', -6.316042700545114)","('israelis', -6.384566545901698)","('peace', -6.439591529446067)","('arab', -6.605092087992738)","('bank', -6.704334791740656)"
demonstrations and riots,"('police', -6.607236044369882)","('protesters', -6.7646200413235995)","('protest', -6.851505232112442)","('demonstrators', -7.0230260630724)","('protests', -7.079490962264502)","('violence', -7.223198761665836)","('demonstrations', -7.325929153223284)","('officers', -7.376171881295674)","('leaders', -7.396288741079142)","('students', -7.515409175795912)"
bankruptcies,"('bankruptcy', -6.109982258189894)","('creditors', -6.84011644525034)","('enron', -7.215086058756239)","('protection', -7.307043650267904)","('filed', -7.325417990112279)","('court', -7.346358924223673)","('billion', -7.457094802844856)","('chapter', -7.459261755741611)","('financial', -7.47706991748082)","('filing', -7.518619029961155)"
standards and standardization,"('standards', -7.262659248082293)","('students', -7.757411510443147)","('schools', -7.868893534353678)","('education', -7.880103513316262)","('teachers', -8.160407455939385)","('test', -8.183866813941531)","('tests', -8.254175133322029)","('standard', -8.297350438436546)","('board', -8.405564672630153)","('rules', -8.476001495830975)"
education and schools,"('students', -5.61247050177638)","('schools', -5.744812389662479)","('education', -5.823767259335089)","('teachers', -6.248969429988696)","('student', -6.478884524775226)","('college', -6.58207412185826)","('board', -6.5985114901606625)","('parents', -6.665598776327358)","('teacher', -6.855401573516118)","('district', -6.938048853689189)"
hiring and promotion,"('hiring', -7.576749890048721)","('job', -7.600548745049372)","('jobs', -7.646527998362027)","('hire', -7.959107529146659)","('employment', -8.014294173624993)","('workers', -8.019953684489161)","('employees', -8.053060425538472)","('employers', -8.223174349052524)","('companies', -8.249613941115003)","('discrimination', -8.31232957499628)"
futures and options trading,"('futures', -6.49858910419073)","('exchange', -6.65898150068706)","('cents', -6.696640453051695)","('trading', -6.729368305588831)","('securities', -6.741736794814086)","('prices', -6.909848617323193)","('delivery', -7.056830589335204)","('oil', -7.071916928276954)","('stock', -7.081922007412452)","('market', -7.16647860859381)"
food,"('food', -6.17812908564379)","('foods', -7.141138476380425)","('meat', -7.2866325931692)","('milk', -7.436511150748904)","('fat', -7.460352518491477)","('sugar', -7.469341472655356)","('restaurant', -7.488837376096501)","('eat', -7.491142064540546)","('products', -7.511671999082386)","('agriculture', -7.515503591429182)"
textiles,"('textile', -8.082381710924682)","('cotton', -8.147314027980514)","('textiles', -8.301976706523838)","('fabric', -8.536167464878744)","('fabrics', -8.582441485746951)","('trade', -8.772562138099008)","('silk', -8.942589683992903)","('clothing', -9.154843901821286)","('apparel', -9.181615414023039)","('imports', -9.252168722539466)"
dancing,"('dance', -5.794683937846307)","('ballet', -6.02455829043911)","('dancers', -6.0826752972535445)","('theater', -6.531590563281981)","('music', -6.761968993740249)","('choreography', -6.772674562134629)","('dancing', -6.796490750721486)","('dancer', -6.813905665626478)","('danced', -6.897974560180269)","('dances', -6.916836562042527)"
earthquakes,"('earthquake', -6.848199907940142)","('quake', -7.381390273525033)","('earthquakes', -8.172274771201232)","('damage', -8.271533789365568)","('tsunami', -8.331091080783228)","('richter', -8.424712985451915)","('relief', -8.475374015566011)","('disaster', -8.49476916132452)","('area', -8.608018156884444)","('miles', -8.645133399981725)"
festivals,"('festival', -6.263505127998285)","('music', -7.07961835848971)","('film', -7.1384001740861125)","('theater', -7.54837261019918)","('films', -7.718893064545049)","('dance', -7.721846844535242)","('concert', -7.818744218828282)","('jazz', -7.831695908478594)","('lincoln', -7.97029564117193)","('art', -8.023811555404567)"
police,"('police', -5.4532351489013156)","('officers', -5.88272181958066)","('officer', -6.180889822273206)","('mayor', -7.067294817782241)","('commissioner', -7.193506833923992)","('precinct', -7.209115475084478)","('crime', -7.228454972755773)","('shooting', -7.235540706314856)","('shot', -7.250716156313552)","('charges', -7.2747760201836975)"
"awards, decorations and honors","('award', -6.434004432146117)","('awards', -6.56758997636108)","('prize', -7.172306545846855)","('winners', -7.558353609495914)","('hall', -7.665737417656116)","('film', -7.697417305321934)","('academy', -7.705121563657153)","('named', -7.7281840966861335)","('honor', -7.77014067218745)","('winner', -7.771353044784861)"
aged,"('elderly', -6.779252014882564)","('medicare', -7.2678783925121815)","('care', -7.432176854621399)","('older', -7.452029380501183)","('health', -7.47641972516168)","('age', -7.819339449343102)","('aging', -7.824701465267235)","('nursing', -7.847249060601554)","('medical', -8.093478282521545)","('benefits', -8.105483829563422)"
medicine and health,"('health', -5.902483859881751)","('dr', -6.1912109754727656)","('patients', -6.247394862654045)","('medical', -6.256289797524198)","('care', -6.356855289796722)","('doctors', -6.536557959904925)","('disease', -6.578739916240472)","('drug', -6.600029180141494)","('hospital', -6.660038426997711)","('aids', -6.706187530119834)"
hospitals,"('hospitals', -6.480437393321404)","('hospital', -6.536169935590209)","('patients', -6.863949608429853)","('care', -6.948652666834827)","('health', -6.956724422502443)","('medical', -7.029107736407185)","('doctors', -7.363092952880843)","('patient', -7.42444279707884)","('dr', -7.572227491229845)","('nurses', -7.92987295776502)"
federal aid (us),"('congress', -7.6944889405084576)","('billion', -7.852917212201126)","('programs', -7.858642517878695)","('administration', -7.917153201042295)","('aid', -7.952522778045818)","('budget', -8.032050283816817)","('grants', -8.086338260191521)","('funds', -8.089218930178246)","('bush', -8.129228878007421)","('housing', -8.158176065578154)"
art,"('art', -5.8003183945961005)","('museum', -6.237626606492715)","('paintings', -6.408667637956046)","('gallery', -6.423276892470276)","('artist', -6.433601785747428)","('artists', -6.502343789392497)","('painting', -6.52901365918314)","('exhibition', -6.620133326098536)","('works', -6.663732621830967)","('sculpture', -7.082765646498017)"
children and youth,"('child', -6.391955886133723)","('parents', -6.500872597112268)","('police', -6.901342031956556)","('kids', -7.028405711781195)","('care', -7.078524117880699)","('boy', -7.167351477775038)","('mother', -7.196146789897339)","('age', -7.240032306781025)","('girl', -7.246861409773211)","('teen', -7.332411302822133)"
handicapped,"('disabled', -7.163268181383184)","('disabilities', -7.320927753655827)","('wheelchair', -7.86727682970468)","('disability', -7.931648815333554)","('education', -8.032098141110659)","('handicapped', -8.06046297577172)","('special', -8.109329978830383)","('students', -8.211627848681125)","('wheelchairs', -8.37603258632922)","('schools', -8.532008387207204)"
media,"('newspaper', -6.94326093253582)","('media', -6.96977614787437)","('journalists', -7.035749545725171)","('press', -7.039402993318222)","('reporters', -7.157583440280295)","('television', -7.263212203560051)","('editor', -7.297611242094005)","('newspapers', -7.310056448636343)","('reporter', -7.462520732965508)","('coverage', -7.470389953089759)"
news and news media,"('newspaper', -6.653964418789008)","('media', -6.925868896758248)","('newspapers', -7.01757162215138)","('press', -7.018817525110033)","('journalists', -7.033826787723354)","('reporters', -7.142588093357811)","('editor', -7.156361368002789)","('paper', -7.231488898721792)","('television', -7.275426774753486)","('daily', -7.371151067825024)"
diseases and conditions,"('aids', -6.088605975221827)","('disease', -6.221722576889198)","('dr', -6.356975019064064)","('health', -6.415449203263603)","('virus', -6.528891928707029)","('patients', -6.585868671878444)","('cancer', -6.603923263068837)","('drug', -6.812864781808809)","('infected', -6.836856060135423)","('medical', -6.887020715177918)"
social security (us),"('social', -6.9121646775478975)","('security', -6.92771566787012)","('benefits', -7.637530619877476)","('tax', -7.8444833578787225)","('retirement', -7.89720294243958)","('bush', -8.028441341959997)","('taxes', -8.067056587846084)","('accounts', -8.18369290047946)","('budget', -8.231412471510161)","('income', -8.254834633473472)"
fines (penalties),"('fined', -7.3463909832110295)","('fines', -7.404577436691246)","('fine', -7.583803267835271)","('pay', -7.804396810618333)","('court', -7.897654923881002)","('penalties', -8.047968310233117)","('judge', -8.058040296867548)","('violations', -8.146345477863878)","('commission', -8.219032938763068)","('agreed', -8.236194471632434)"
ethics,"('investigation', -6.685437400137379)","('committee', -6.948576682613644)","('clinton', -6.961745247063392)","('charges', -7.003746811912308)","('campaign', -7.017161355075437)","('ethics', -7.0695051860077625)","('republican', -7.094803336658375)","('attorney', -7.116571846476352)","('court', -7.138329054764648)","('senate', -7.196575867522052)"
sentences (criminal),"('sentenced', -6.503083776783)","('prison', -6.5412416440983465)","('sentence', -6.708477145586716)","('court', -6.901379932878569)","('judge', -6.903085737006844)","('convicted', -7.013322777680688)","('sentencing', -7.108146481006913)","('guilty', -7.1800305549529195)","('prosecutors', -7.387585413186274)","('trial', -7.453424299310053)"
advertising and marketing,"('advertising', -5.340550513067419)","('media', -5.986103498776737)","('addenda', -6.17697217145082)","('billings', -6.304605121713431)","('agency', -6.330633290156467)","('account', -6.485348539803313)","('marketing', -6.526518703713059)","('campaign', -6.563505167586648)","('ads', -6.577100647739265)","('ad', -6.59234154601686)"
hotels and motels,"('hotel', -6.375312360946649)","('hotels', -6.743900867516866)","('rooms', -7.170134709289593)","('room', -7.286580182639855)","('guests', -7.6573366634367)","('travel', -7.862024124263256)","('resort', -8.099731204706774)","('building', -8.10126646309709)","('inn', -8.109719261181727)","('travelers', -8.158879737857967)"
drunken and reckless driving,"('driving', -7.329545555760954)","('drunken', -7.5339023909749345)","('alcohol', -7.798197831513754)","('police', -7.890654974799658)","('intoxicated', -8.108716432622685)","('driver', -8.117615877249122)","('car', -8.145428252640624)","('accident', -8.307016500685306)","('drunk', -8.325262947296828)","('drivers', -8.539510021610628)"
apparel,"('fashion', -6.200862403536408)","('clothes', -6.6972161232060845)","('wear', -6.815829711566697)","('designers', -6.916288232093755)","('designer', -6.934232572269408)","('dress', -6.9599899164100645)","('women', -7.0367035726032405)","('dresses', -7.136707951676701)","('black', -7.260767907188016)","('clothing', -7.315306414750673)"
skiing,"('ski', -6.83781936987088)","('skiing', -7.215543096292053)","('skiers', -7.365079148603754)","('snow', -7.835858608896581)","('skier', -7.884586714643587)","('mountain', -7.941384875378347)","('downhill', -8.001370774757248)","('skis', -8.005984280669743)","('slalom', -8.035769926895115)","('winter', -8.168260274681913)"
attacks on police,"('police', -6.783616967013818)","('officer', -7.011875924276842)","('officers', -7.250296184495263)","('shot', -7.66433919582651)","('shooting', -7.844056883760161)","('gun', -8.07331836642106)","('murder', -8.105107795634511)","('killed', -8.14597900612618)","('fired', -8.198119799027474)","('car', -8.211866445265631)"
