company reports,"('amex', -5.211085144866019)","('discontinued', -5.618139282572193)","('b1', -5.798886604494445)","('01', -5.82673857213189)","('02', -5.948127118431862)","('03', -6.019199039200537)","('respectively', -6.031137196260979)","('04', -6.105005230861835)","('05', -6.1054368021531875)","('06', -6.122930199970927)","('07', -6.158774913732408)","('08', -6.188779909082163)","('b2', -6.239610516468859)","('09', -6.270049997439826)","('bancorp', -6.41081352321991)","('restated', -6.433686808621377)","('credits', -6.530837683622718)","('b3', -6.623665309117045)","('pretax', -6.770951444515765)","('b4', -6.811898229367177)"
mutual funds,"('morningstar', -6.4484836030556725)","('portfolio', -6.458621651629785)","('fidelity', -6.62454080822287)","('investing', -6.6267138142401345)","('institutional', -6.86170939303717)","('portfolios', -6.917408487041397)","('vanguard', -7.049087699524845)","('asset', -7.062534097336973)","('yields', -7.073990493110547)","('taxable', -7.123339134847524)","('lipper', -7.170409166477238)","('invested', -7.310216287609686)","('decreased', -7.490743665656635)","('hedge', -7.532206621302886)","('donoghue', -7.60554760574104)","('rowe', -7.610854759198328)","('load', -7.663027317945144)","('diversified', -7.672582271548237)","('brokerage', -7.729242841456589)","('capitalization', -7.747715597713903)"
motion pictures,"('documentary', -6.620742547583876)","('edited', -6.853544678917483)","('cinema', -6.864999789517629)","('screenplay', -6.927457687603945)","('pg', -7.015069879869434)","('theaters', -7.018670338204011)","('studios', -7.08068946148759)","('script', -7.185298976293258)","('oscar', -7.1923291756703485)","('starring', -7.207795731498008)","('disney', -7.304308594532064)","('filmmakers', -7.3455508225045305)","('subtitles', -7.467842534086827)","('filmmaker', -7.481134118422868)","('filming', -7.555733501975883)","('dvd', -7.559742044402085)","('paramount', -7.630876077745469)","('filmed', -7.649429220696664)","('screening', -7.720809635573756)","('profanity', -7.785220481512914)"
capital punishment,"('execution', -6.125923552028157)","('punishment', -6.388654460088706)","('executed', -6.6062910958315575)","('executions', -6.709465837259413)","('defendant', -7.147417333908525)","('inmates', -7.263504470499904)","('sentences', -7.285132826682114)","('inmate', -7.319063661318061)","('defendants', -7.336639682341334)","('jurors', -7.395697246451361)","('injection', -7.489852770634065)","('parole', -7.531174867586959)","('sentencing', -7.634407283340571)","('lethal', -7.66507880037426)","('murders', -7.7013107456392325)","('condemned', -7.755366516599578)","('mcveigh', -7.76669722675537)","('prisoners', -7.768486000534368)","('clemency', -7.836063477034967)","('justices', -7.8422164329271)"
homeless persons,"('shelter', -6.0147420550136)","('shelters', -6.207742588898841)","('homelessness', -6.680226664756342)","('mentally', -7.397325226028398)","('sleeping', -7.653025507278823)","('beds', -7.720120389852884)","('dinkins', -7.759767262962551)","('koch', -7.7913502404534105)","('cuomo', -8.000218265073535)","('psychiatric', -8.106852890151627)","('affordable', -8.215630325459948)","('outreach', -8.274867252922581)","('volunteers', -8.324708324286865)","('counseling', -8.329101218049178)","('transitional', -8.359548498327522)","('occupancy', -8.362034021909878)","('tenants', -8.36761497829818)","('motels', -8.393580476756512)","('soup', -8.395524773207319)","('terminal', -8.414173938104094)"
legislatures and parliaments,"('assemblyman', -7.0497150312287005)","('parliamentary', -7.0936963923972645)","('pataki', -7.333002956467969)","('bruno', -7.502100399213515)","('legislator', -7.523983100333631)","('ballot', -7.5370646134199255)","('incumbent', -7.546347139564054)","('redistricting', -7.6498182344280306)","('cuomo', -7.776439820777544)","('incumbents', -7.839454669049591)","('ballots', -7.896469143835468)","('electoral', -8.007931085512645)","('voter', -8.024824545727883)","('yeltsin', -8.040596891961812)","('legislatures', -8.138107745483277)","('ethics', -8.142301992690003)","('reforms', -8.146563625265928)","('elect', -8.150382315436412)","('sheldon', -8.150594621832202)","('referendum', -8.168646234993883)"
income tax,"('taxpayers', -6.550179884680834)","('deductions', -7.047740057928675)","('deduction', -7.2957801494297145)","('taxpayer', -7.418093745016929)","('incomes', -7.524442100490823)","('taxable', -7.531511167300095)","('taxed', -7.5342682487558)","('filing', -7.782084890321408)","('taxation', -7.821198468983069)","('deduct', -7.901720349262349)","('weicker', -7.981172861676948)","('deductible', -7.981775533207429)","('dole', -8.016073441229462)","('dividends', -8.035514236269178)","('bracket', -8.094237760583335)","('medicare', -8.129033730746137)","('adjusted', -8.165825293583906)","('earning', -8.215781137219867)","('offset', -8.21797775917685)","('cuomo', -8.218538238005195)"
taxation,"('taxpayers', -6.121168704475999)","('deductions', -6.844388815484835)","('taxed', -7.006986627786461)","('surplus', -7.021622653799698)","('deduction', -7.0241152456930935)","('medicare', -7.090035448127972)","('taxation', -7.091317937218712)","('incomes', -7.0999970588091825)","('taxpayer', -7.108093557661457)","('taxable', -7.179012440738821)","('pataki', -7.238051115497599)","('deficits', -7.265974963659938)","('trillion', -7.29378435989868)","('exempt', -7.312986317570722)","('repeal', -7.327025333892211)","('reductions', -7.354338465440269)","('tariffs', -7.368024299083019)","('credits', -7.423724178482062)","('gasoline', -7.442098564816778)","('filing', -7.442882169079904)"
income,"('taxpayers', -6.565067893984773)","('incomes', -6.895595868226368)","('deductions', -7.084849126699126)","('deduction', -7.3316213065082385)","('taxpayer', -7.436737978293621)","('taxable', -7.544769967709717)","('taxed', -7.561990824067472)","('wages', -7.750573647412847)","('adjusted', -7.7667590972906435)","('filing', -7.818664108337515)","('wage', -7.828219009329602)","('taxation', -7.833894951024936)","('earning', -7.934648144869061)","('deduct', -7.943387814115045)","('dividends', -8.009114358892832)","('deductible', -8.013143613314913)","('weicker', -8.030471159258909)","('households', -8.061559881100024)","('medicare', -8.061828563913544)","('dole', -8.071286189184637)"
federal taxes (us),"('taxpayers', -6.589906492995224)","('deductions', -7.0001741673688525)","('deduction', -7.24765590726148)","('taxed', -7.4735937160357455)","('taxpayer', -7.507251478176788)","('taxable', -7.570738417143246)","('incomes', -7.610300968034834)","('medicare', -7.7302678200387875)","('dole', -7.793160203997004)","('filing', -7.83696110268763)","('taxation', -7.852977351698851)","('deductible', -7.933539617532713)","('deduct', -7.953316959090047)","('rostenkowski', -8.017349079099994)","('dividends', -8.03956839556334)","('provisions', -8.045579778075698)","('exempt', -8.096766348549018)","('offset', -8.131736034365073)","('credits', -8.13939663845484)","('gasoline', -8.231606768227646)"
science and technology,"('physics', -7.245260073945046)","('sciences', -7.553521798152864)","('scientist', -7.688510458046293)","('math', -7.719345665248428)","('biology', -7.81962038363435)","('universities', -7.958568283565602)","('mathematics', -7.960349227653056)","('experiments', -8.051617741587902)","('cells', -8.060429294953343)","('physicist', -8.079996477489024)","('chemistry', -8.113225420727549)","('nobel', -8.143655755928606)","('lab', -8.169761967370627)","('laboratories', -8.182520764076475)","('cell', -8.191200311911587)","('physicists', -8.191294893483047)","('universe', -8.210074324011762)","('technological', -8.27871705045367)","('engineers', -8.299434044075287)","('genetic', -8.312680762436816)"
vietnam war,"('vietnamese', -6.920352146025393)","('hanoi', -7.335739843795012)","('kerry', -7.4750551512848125)","('saigon', -8.058683570650723)","('servicemen', -8.087381031342918)","('nixon', -8.235593382861666)","('mcnamara', -8.269984090909276)","('antiwar', -8.275851060191606)","('laos', -8.306648250829848)","('prisoners', -8.346266980030494)","('indochina', -8.397764772707593)","('southeast', -8.422691218545774)","('cambodia', -8.474546361705105)","('minh', -8.494853642886875)","('kerrey', -8.583631454750254)","('vietcong', -8.611997458050617)","('chi', -8.616021098188419)","('ho', -8.651607940973916)","('swift', -8.686930890555256)","('mccain', -8.724963135958426)"
strikes,"('strikers', -6.7190077253671445)","('walkout', -6.75297967363992)","('bargaining', -6.833604378290748)","('picket', -6.958578178502939)","('wage', -7.063869946229229)","('wages', -7.069980445761848)","('negotiators', -7.270820403440157)","('transit', -7.632336702944304)","('salaries', -7.635632645586875)","('pilots', -7.66309440898892)","('mediator', -7.704027599801032)","('fehr', -7.724700230868549)","('pension', -7.781577156441362)","('teamsters', -7.7920827377217865)","('stoppage', -7.806928381140539)","('tentative', -7.814242700672244)","('guild', -7.829207833906252)","('expired', -7.84876307993287)","('miners', -7.849971181946891)","('resume', -7.859458736368163)"
labor,"('wage', -6.252455380446947)","('employers', -6.313983111073354)","('wages', -6.360605780093966)","('layoffs', -6.5198631685140125)","('pension', -6.588004785900196)","('bargaining', -6.835270864479415)","('employer', -7.003181480416805)","('salaries', -7.017249444434201)","('workplace', -7.114291106822545)","('productivity', -7.146670623146934)","('compensation', -7.2921710231503765)","('discrimination', -7.293295891452269)","('concessions', -7.350244201514914)","('jobless', -7.407376645328748)","('pensions', -7.409405135487792)","('factories', -7.41693168839664)","('unemployed', -7.4215204293761365)","('pilots', -7.435743357427201)","('payroll', -7.473124603583902)","('employed', -7.474269232903476)"
commuting,"('commuters', -6.806733075732958)","('commuter', -6.988467061728905)","('transit', -7.192677323141061)","('trains', -7.430088996790913)","('rail', -7.504761637043033)","('riders', -7.576097765819284)","('commuting', -7.661341355071056)","('commute', -7.723114022226984)","('metro', -7.7792412049353645)","('railroad', -7.796561170325457)","('buses', -8.050930873650243)","('congestion', -8.246956756155749)","('terminal', -8.350526639631836)","('ferry', -8.352554707071098)","('bloomberg', -8.354121856817944)","('ridership', -8.403359030393828)","('tunnel', -8.54128553515743)","('amtrak', -8.588177369783892)","('midtown', -8.607498459706441)","('fares', -8.648207953237664)"
railroads,"('rail', -5.682621202526753)","('railroad', -5.79217398364682)","('trains', -5.90328665688512)","('amtrak', -6.092094796122738)","('transit', -6.4137924369430594)","('commuter', -6.571783985292039)","('metro', -6.6840207195536285)","('commuters', -6.710864467664932)","('railroads', -6.952312415745617)","('passenger', -7.016184847832277)","('freight', -7.044389255628198)","('riders', -7.067889390747529)","('terminal', -7.112685042954505)","('railway', -7.279825912255974)","('tunnel', -7.533995297284818)","('buses', -7.535780647905819)","('penn', -7.609917779909889)","('conrail', -7.641868284165533)","('corridor', -7.728325278294472)","('fares', -7.804110235925426)"
reform and reorganization,"('reforms', -6.929994306377865)","('restructuring', -6.963901363490858)","('reorganization', -6.9847099508689805)","('gorbachev', -6.99766612938247)","('overhaul', -7.386797828455476)","('yeltsin', -7.457301553781974)","('employers', -7.5768922130095735)","('medicare', -7.62021338308014)","('mikhail', -7.688381681155505)","('committees', -7.711987757334244)","('medicaid', -7.756923998601951)","('recipients', -7.762940743784651)","('bureaucracy', -7.801183989962134)","('subsidies', -7.817374924344271)","('premiums', -7.832701938455421)","('republics', -7.839691128756744)","('recommendations', -7.8496774347763)","('chancellor', -7.859056846113393)","('creditors', -7.880705940939915)","('provisions', -7.93809871705317)"
travel and vacations,"('travelers', -6.435886743395204)","('tourist', -6.764425585041171)","('tourism', -6.81471806065392)","('tours', -6.874398721552529)","('traveler', -6.955789587169438)","('cruise', -7.02907559679795)","('flights', -7.046488821054447)","('inn', -7.338502090093864)","('fares', -7.339211106443197)","('fax', -7.452727596334095)","('meals', -7.485446518443128)","('cruises', -7.502634013411552)","('accommodations', -7.538935393674308)","('passenger', -7.568051872222192)","('occupancy', -7.578805430457428)","('destination', -7.610534646878079)","('resorts', -7.613827778945768)","('rental', -7.634237396066582)","('islands', -7.634275948456121)","('caribbean', -7.666623634676327)"
atomic energy,"('reactor', -6.135406142930052)","('reactors', -6.303407330241175)","('radioactive', -6.612747350953913)","('regulatory', -6.7446376424662775)","('uranium', -6.876366559735398)","('shoreham', -6.88118615697)","('atomic', -7.010993440149202)","('radiation', -7.059073543948168)","('lilco', -7.198852571036974)","('electricity', -7.222049216204539)","('plutonium', -7.22328436290335)","('utilities', -7.286484780655402)","('chernobyl', -7.464700958260176)","('entergy', -7.603605584524679)","('evacuation', -7.66986471063614)","('enrichment', -7.714401887836711)","('wastes', -7.728703790627946)","('yucca', -7.782194500473512)","('seabrook', -7.816880079885166)","('storage', -7.826537766224811)"
accidents and safety,"('crashed', -6.4020808009032395)","('accidents', -6.405617190701621)","('aviation', -6.600908608449846)","('passenger', -6.805173194123477)","('aboard', -7.021411343054351)","('pilots', -7.024866663223013)","('engine', -7.105104563313466)","('explosion', -7.15845783877356)","('collision', -7.195302716596484)","('shuttle', -7.211658666373079)","('crashes', -7.228440271554394)","('transit', -7.279006736660139)","('boeing', -7.280005194429691)","('wreckage', -7.3682702037873185)","('landing', -7.370043955861755)","('reactor', -7.424857165722073)","('helicopter', -7.440324984560489)","('debris', -7.448676232431622)","('nasa', -7.462324095177908)","('fatal', -7.482285279984014)"
delays (transportation),"('delays', -6.968409355595269)","('flights', -7.263802755124026)","('trains', -7.461472930293182)","('airports', -7.534456157400605)","('transit', -7.554829875194241)","('aviation', -7.871274777131571)","('commuters', -7.886749266007886)","('travelers', -7.9754808266897985)","('rail', -7.976886982561617)","('lanes', -8.064730955411775)","('congestion', -8.233464015458441)","('passenger', -8.234270405543537)","('riders', -8.25034538135993)","('guardia', -8.276330902389658)","('railroad', -8.276362237450712)","('tunnel', -8.296624722501235)","('routes', -8.304637071816312)","('amtrak', -8.356948610724686)","('terminal', -8.387795554916867)","('canceled', -8.422628425222157)"
